id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV,APG,BPG,DRPG,FG3APG,FG3MPG,FGAPG,FGMPG,FPG,FTAPG,FTMPG,MPG,ORPG,PF_APG,PF_BPG,PF_DRPG,PF_FG3APG,PF_FG3MPG,PF_FGAPG,PF_FGMPG,PF_FPG,PF_FTAPG,PF_FTMPG,PF_MPG,PF_ORPG,PF_PPG,PF_RPG,PF_SPG,PF_TPG,PPG,RPG,SPG,TPG,1st Team All-Defensive Team,1st Team All-NBA,1st Team All-Rookie Team,2nd Team All-Defensive Team,2nd Team All-NBA,2nd Team All-Rookie Team,3rd Team All-NBA,Hall of Fame Inductee,IBM Award,J. Walter Kennedy Citizenship,NBA All-Star,NBA All-Star Most Valuable Player,NBA All-Star Selection,NBA Champion,NBA Comeback Player of the Year,NBA Defensive Player of the Year,NBA Finals Most Valuable Player,NBA Most Improved Player,NBA Most Valuable Player,NBA Player of the Month,NBA Player of the Week,NBA Rookie of the Month,NBA Rookie of the Year,NBA Sixth Man of the Year,NBA Sporting News Most Valuable Player of the Year,NBA Sporting News Rookie of the Year,NBA Sportsmanship,Olympic Appearance,Olympic Bronze Medal,Olympic Gold Medal,Olympic Silver Medal
76001,Alaa Abdelnaby,Alaa,Abdelnaby,False,85.0,69.0,563.0,3.0,0.0,0.0,1236.0,620.0,0.501618122977,321.0,225.0,0.700934579439,256.0,53.0,3200.0,283.0,484.0,3.0,1.0,17.0,0.0,0.0,0.0,40.0,18.0,0.45,4.0,2.0,0.5,17.0,4.0,106.0,3.0,11.0,38.0,20.0,0.0,11.0,1465.0,846.0,71.0,247.0,0.3,0.3,2.2,0.0,0.0,4.8,2.4,1.9,1.3,0.9,12.5,1.1,0.2,0.1,1.0,0.0,0.0,2.4,1.1,0.6,0.2,0.1,6.2,0.2,2.2,1.2,0.0,0.6,5.7,3.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,False,601.0,205.0,1124.0,0.0,0.0,0.0,4138.0,1769.0,0.427501208313,1400.0,1019.0,0.727857142857,505.0,0.0,11023.0,503.0,1120.0,9.0,8.0,27.0,0.0,0.0,0.0,70.0,37.0,0.528571428571,26.0,18.0,0.692307692307,18.0,0.0,210.0,11.0,12.0,92.0,64.0,1.0,0.0,4557.0,4065.0,131.0,11.0,1.2,1.0,5.4,0.0,0.0,8.2,3.5,2.2,2.8,2.0,21.8,2.4,0.5,0.7,2.5,0.0,0.0,3.9,2.1,0.7,1.4,1.0,11.7,1.0,5.1,3.6,0.1,0.0,9.0,8.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,False,5660.0,3189.0,9394.0,18.0,1.0,0.0,28307.0,15837.0,0.559472921892,9304.0,6712.0,0.721410146173,1560.0,1476.0,57446.0,2975.0,4657.0,767.0,476.0,1273.0,4.0,0.0,0.0,4422.0,2356.0,0.532790592492,1419.0,1050.0,0.739957716701,237.0,140.0,8612.0,505.0,797.0,5762.0,2481.0,189.0,447.0,38387.0,17440.0,1160.0,2527.0,3.6,2.6,7.6,0.0,0.0,18.1,10.2,3.0,6.0,4.3,36.8,2.4,3.2,2.4,6.5,0.0,0.0,18.7,9.9,3.4,6.0,4.4,36.3,2.6,24.3,10.5,1.0,2.6,24.6,11.2,0.9,2.7,5.0,10.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,6.0,2.0,7.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,False,2079.0,46.0,868.0,1339.0,474.0,0.353995519044,7943.0,3514.0,0.442402115069,1161.0,1051.0,0.9052540913,586.0,336.0,15627.0,219.0,1106.0,35.0,1.0,18.0,49.0,14.0,0.285714285714,187.0,69.0,0.368983957219,45.0,43.0,0.955555555555,15.0,14.0,415.0,5.0,37.0,195.0,23.0,7.0,22.0,8553.0,1087.0,487.0,963.0,3.5,0.1,1.5,2.3,0.8,13.6,6.0,1.9,2.0,1.8,26.7,0.4,2.3,0.1,1.2,3.3,0.9,12.5,4.6,2.5,3.0,2.9,27.7,0.3,13.0,1.5,0.5,1.5,14.6,1.9,0.8,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,False,266.0,83.0,490.0,76.0,18.0,0.236842105263,1726.0,720.0,0.417149478563,529.0,372.0,0.703213610586,236.0,145.0,4808.0,286.0,485.0,11.0,4.0,24.0,3.0,0.0,0.0,63.0,24.0,0.380952380952,24.0,20.0,0.833333333333,13.0,5.0,178.0,17.0,14.0,68.0,41.0,4.0,4.0,1830.0,776.0,184.0,309.0,1.1,0.4,2.1,0.3,0.1,7.3,3.1,2.1,2.2,1.6,20.4,1.2,0.8,0.3,1.8,0.2,0.0,4.8,1.8,1.1,1.8,1.5,13.7,1.3,5.2,3.2,0.3,0.3,7.8,3.3,0.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,False,2109.0,638.0,4370.0,519.0,154.0,0.296724470134,11515.0,5434.0,0.471906209292,4943.0,4006.0,0.810439004653,830.0,704.0,28881.0,1869.0,2324.0,7.0,0.0,21.0,3.0,0.0,0.0,43.0,23.0,0.53488372093,15.0,9.0,0.6,6.0,0.0,129.0,8.0,27.0,55.0,29.0,2.0,13.0,15028.0,6239.0,820.0,2136.0,2.5,0.8,5.3,0.6,0.2,13.9,6.5,2.8,6.0,4.8,34.8,2.3,1.2,0.0,3.5,0.5,0.0,7.2,3.8,4.5,2.5,1.5,21.5,1.3,9.2,4.8,0.3,2.2,18.1,7.5,1.0,2.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76005,Tom Abernethy,Tom,Abernethy,False,384.0,60.0,637.0,2.0,0.0,0.0,1472.0,724.0,0.491847826086,443.0,331.0,0.747178329571,319.0,40.0,5434.0,374.0,525.0,23.0,2.0,28.0,0.0,0.0,0.0,54.0,22.0,0.407407407407,29.0,24.0,0.827586206896,13.0,0.0,226.0,14.0,18.0,68.0,42.0,7.0,0.0,1779.0,1011.0,185.0,129.0,1.2,0.2,2.0,0.0,0.0,4.6,2.3,1.6,1.4,1.0,17.0,1.2,1.8,0.2,2.2,0.0,0.0,4.2,1.7,1.4,2.2,1.8,17.4,1.1,5.2,3.2,0.5,0.0,5.6,3.2,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76006,Forest Able,Forest,Able,False,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76007,John Abramovic,John,Abramovic,False,37.0,0.0,0.0,0.0,0.0,0.0,855.0,203.0,0.237426900584,185.0,127.0,0.686486486486,56.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,15.3,3.6,3.1,3.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203518,Alex Abrines,Alex,Abrines,False,88.0,22.0,199.0,595.0,219.0,0.36806722689,789.0,305.0,0.386565272496,108.0,95.0,0.879629629629,174.0,16.0,2777.0,49.0,291.0,6.0,2.0,20.0,30.0,11.0,0.366666666666,43.0,16.0,0.372093023255,6.0,5.0,0.833333333333,11.0,0.0,189.0,5.0,19.0,48.0,25.0,5.0,1.0,924.0,248.0,92.0,72.0,0.5,0.1,1.1,3.4,1.3,4.5,1.8,1.7,0.6,0.5,16.0,0.3,0.5,0.2,1.8,2.7,1.0,3.9,1.5,1.7,0.5,0.5,17.2,0.5,4.4,2.3,0.5,0.1,5.3,1.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
