id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV,APG,BPG,DRPG,FG3APG,FG3MPG,FGAPG,FGMPG,FPG,FTAPG,FTMPG,MPG,ORPG,PF_APG,PF_BPG,PF_DRPG,PF_FG3APG,PF_FG3MPG,PF_FGAPG,PF_FGMPG,PF_FPG,PF_FTAPG,PF_FTMPG,PF_MPG,PF_ORPG,PF_PPG,PF_RPG,PF_SPG,PF_TPG,PPG,RPG,SPG,TPG,1st Team All-Defensive Team,1st Team All-NBA,1st Team All-Rookie Team,2nd Team All-Defensive Team,2nd Team All-NBA,2nd Team All-Rookie Team,3rd Team All-NBA,Hall of Fame Inductee,IBM Award,J. Walter Kennedy Citizenship,NBA All-Star,NBA All-Star Most Valuable Player,NBA All-Star Selection,NBA Champion,NBA Comeback Player of the Year,NBA Defensive Player of the Year,NBA Finals Most Valuable Player,NBA Most Improved Player,NBA Most Valuable Player,NBA Player of the Month,NBA Player of the Week,NBA Rookie of the Month,NBA Rookie of the Year,NBA Sixth Man of the Year,NBA Sporting News Most Valuable Player of the Year,NBA Sporting News Rookie of the Year,NBA Sportsmanship,Olympic Appearance,Olympic Bronze Medal,Olympic Gold Medal,Olympic Silver Medal
200746,LaMarcus Aldridge,LaMarcus,Aldridge,False,2076.0,1187.0,5960.0,710.0,227.0,0.319718309859,16872.0,8311.0,0.492591275486,4563.0,3709.0,0.812842428227,1076.0,997.0,36242.0,2776.0,2598.0,119.0,100.0,431.0,52.0,17.0,0.326923076923,1284.0,584.0,0.454828660436,375.0,309.0,0.824,72.0,72.0,2668.0,183.0,196.0,1494.0,614.0,49.0,112.0,20558.0,8736.0,758.0,1643.0,1.9,1.1,5.5,0.7,0.2,15.7,7.7,2.4,4.2,3.4,33.7,2.6,1.7,1.4,6.0,0.7,0.2,17.8,8.1,2.7,5.2,4.3,37.1,2.5,20.8,8.5,0.7,1.6,19.1,8.1,0.7,1.5,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641851,Timmy Allen,Timmy,Allen,False,5.0,0.0,13.0,7.0,0.0,0.0,23.0,6.0,0.261,2.0,1.0,0.5,5.0,0.0,125.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,4.0,2.0,1.0,0.0,2.6,1.4,0.0,4.6,1.2,3.6,0.4,0.2,25.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626147,Justin Anderson,Justin,Anderson,False,184.0,80.0,480.0,545.0,159.0,0.291743119266,1106.0,454.0,0.410488245931,280.0,217.0,0.775,242.0,30.0,3280.0,141.0,291.0,10.0,4.0,27.0,31.0,11.0,0.354838709677,57.0,25.0,0.438596491228,18.0,13.0,0.722222222222,15.0,1.0,156.0,10.0,22.0,74.0,37.0,5.0,9.0,1284.0,621.0,105.0,141.0,0.8,0.3,2.0,2.3,0.7,4.6,1.9,1.2,1.2,0.9,13.6,0.6,0.7,0.3,1.8,2.1,0.7,3.8,1.7,1.5,1.2,0.9,10.4,0.7,4.9,2.5,0.3,0.6,5.3,2.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2546,Carmelo Anthony,Carmelo,Anthony,False,3422.0,644.0,5825.0,4873.0,1731.0,0.355222655448,22643.0,10119.0,0.446893079538,7764.0,6320.0,0.814013395157,1260.0,1120.0,43513.0,1983.0,3543.0,204.0,29.0,404.0,312.0,101.0,0.323717948717,1614.0,669.0,0.414498141263,575.0,475.0,0.826086956521,83.0,77.0,3090.0,153.0,298.0,1914.0,557.0,100.0,218.0,28289.0,7808.0,1223.0,3052.0,2.7,0.5,4.6,3.9,1.4,18.0,8.0,2.8,6.2,5.0,34.5,1.6,2.5,0.3,4.9,3.8,1.2,19.4,8.1,3.6,6.9,5.7,37.2,1.8,23.1,6.7,1.2,2.6,22.5,6.2,1.0,2.4,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,False,487.0,7.0,399.0,491.0,181.0,0.368635437881,851.0,358.0,0.420681551116,166.0,134.0,0.807228915662,257.0,40.0,3939.0,53.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,452.0,122.0,135.0,1.9,0.0,1.6,1.9,0.7,3.3,1.4,1.4,0.6,0.5,15.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2772,Trevor Ariza,Trevor,Ariza,False,2379.0,355.0,4275.0,4579.0,1605.0,0.350513212491,9804.0,4135.0,0.421766625866,2350.0,1718.0,0.731063829787,1118.0,769.0,32954.0,1081.0,2205.0,194.0,26.0,426.0,458.0,167.0,0.36462882096,892.0,377.0,0.42264573991,212.0,153.0,0.721698113207,106.0,94.0,3389.0,102.0,278.0,1074.0,528.0,142.0,121.0,11593.0,5356.0,1628.0,1473.0,2.1,0.3,3.8,4.1,1.4,8.8,3.7,2.0,2.1,1.5,29.5,1.0,1.8,0.2,4.0,4.3,1.6,8.4,3.6,2.6,2.0,1.4,32.0,1.0,10.1,5.0,1.3,1.1,10.4,4.8,1.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201571,D.J. Augustin,D.J.,Augustin,False,3761.0,32.0,1513.0,3311.0,1262.0,0.38115372999,7270.0,2994.0,0.411829436038,2317.0,2009.0,0.867069486404,976.0,334.0,22852.0,292.0,1350.0,93.0,2.0,37.0,118.0,46.0,0.389830508474,247.0,91.0,0.368421052631,95.0,83.0,0.873684210526,38.0,6.0,798.0,8.0,59.0,311.0,45.0,14.0,42.0,9259.0,1805.0,567.0,1428.0,3.9,0.0,1.6,3.4,1.3,7.4,3.1,1.4,2.4,2.1,23.4,0.3,2.4,0.1,1.0,3.1,1.2,6.5,2.4,1.6,2.5,2.2,21.0,0.2,8.2,1.2,0.4,1.1,9.5,1.8,0.6,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630555,Joel Ayayi,Joel,Ayayi,False,4.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,0.167,0.0,0.0,0.0,7.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.6,0.0,0.3,0.1,0.0,0.9,0.1,0.0,0.0,0.0,2.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628962,Udoka Azubuike,Udoka,Azubuike,False,14.0,36.0,171.0,0.0,0.0,0.0,153.0,116.0,0.75816993464,54.0,24.0,0.444444444444,84.0,10.0,723.0,64.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,256.0,235.0,9.0,37.0,0.2,0.4,2.0,0.0,0.0,1.8,1.4,1.0,0.6,0.3,8.6,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.8,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630641,Ibou Badji,Ibou,Badji,False,13.0,20.0,31.0,0.0,0.0,0.0,22.0,14.0,0.636363636363,12.0,6.0,0.5,22.0,1.0,225.0,20.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,51.0,3.0,15.0,0.6,0.9,1.4,0.0,0.0,1.0,0.6,2.1,0.5,0.3,10.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.3,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
