id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV,APG,BPG,DRPG,FG3APG,FG3MPG,FGAPG,FGMPG,FPG,FTAPG,FTMPG,MPG,ORPG,PF_APG,PF_BPG,PF_DRPG,PF_FG3APG,PF_FG3MPG,PF_FGAPG,PF_FGMPG,PF_FPG,PF_FTAPG,PF_FTMPG,PF_MPG,PF_ORPG,PF_PPG,PF_RPG,PF_SPG,PF_TPG,PPG,RPG,SPG,TPG,1st Team All-Defensive Team,1st Team All-NBA,1st Team All-Rookie Team,1st Team NBA Cup All-Tournament Team,2nd Team All-Defensive Team,2nd Team All-NBA,2nd Team All-Rookie Team,3rd Team All-NBA,NBA All-Star,NBA All-Star Most Valuable Player,NBA Champion,NBA Clutch Player of the Year,NBA Cup Most Valuable Player,NBA Defensive Player of the Month,NBA Defensive Player of the Year,NBA Finals Most Valuable Player,NBA Most Improved Player,NBA Most Valuable Player,NBA Player of the Month,NBA Player of the Week,NBA Rookie of the Month,NBA Rookie of the Year,NBA Sixth Man of the Year,NBA Sporting News Most Valuable Player of the Year,NBA Sporting News Rookie of the Year,NBA Sportsmanship,Olympic Appearance,Olympic Bronze Medal,Olympic Gold Medal,Olympic Silver Medal,Hall of Fame Inductee,IBM Award,J. Walter Kennedy Citizenship,NBA All-Star Selection,NBA Comeback Player of the Year
1630173,Precious Achiuwa,Precious,Achiuwa,True,367.0,233.0,1367.0,452.0,137.0,0.303097345132,2306.0,1121.0,0.486123156981,620.0,370.0,0.596774193548,366.0,102.0,7332.0,699.0,642.0,11.0,19.0,49.0,20.0,5.0,0.25,113.0,55.0,0.486725663716,31.0,14.0,0.451612903225,26.0,3.0,397.0,33.0,37.0,129.0,82.0,6.0,18.0,2749.0,2066.0,217.0,344.0,1.0,0.6,3.7,1.2,0.4,6.3,3.1,1.8,1.7,1.0,20.0,1.9,0.4,0.7,1.9,0.8,0.2,4.3,2.1,1.4,1.2,0.5,15.3,1.3,5.0,3.2,0.2,0.7,7.5,5.6,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203500,Steven Adams,Steven,Adams,True,1193.0,723.0,3481.0,17.0,1.0,0.058823529411,4925.0,2874.0,0.583553299492,2210.0,1181.0,0.534389140271,796.0,655.0,20469.0,2910.0,1863.0,68.0,67.0,328.0,3.0,0.0,0.0,365.0,224.0,0.613698630136,189.0,101.0,0.534391534391,73.0,46.0,1879.0,204.0,174.0,549.0,532.0,33.0,69.0,6930.0,6391.0,668.0,1118.0,1.5,0.9,4.4,0.0,0.0,6.2,3.6,2.3,2.8,1.5,25.7,3.7,0.9,0.9,4.5,0.0,0.0,5.0,3.1,2.4,2.6,1.4,25.7,2.8,7.5,7.3,0.5,0.9,8.7,8.0,0.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628389,Bam Adebayo,Bam,Adebayo,True,2166.0,519.0,4107.0,536.0,175.0,0.326492537313,7042.0,3717.0,0.527833001988,2803.0,2127.0,0.758829825187,612.0,508.0,18757.0,1359.0,1441.0,270.0,49.0,518.0,37.0,9.0,0.243243243243,975.0,504.0,0.516923076923,345.0,261.0,0.75652173913,78.0,73.0,2709.0,197.0,227.0,1278.0,715.0,67.0,180.0,9736.0,5466.0,651.0,1298.0,3.5,0.8,6.7,0.9,0.3,11.5,6.1,2.4,4.6,3.5,30.6,2.2,3.5,0.6,6.6,0.5,0.1,12.5,6.5,2.9,4.4,3.3,34.7,2.5,16.4,9.2,0.9,2.3,15.9,8.9,1.1,2.1,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1630534,Ochai Agbaji,Ochai,Agbaji,True,278.0,100.0,463.0,757.0,256.0,0.338177014531,1523.0,681.0,0.447143795141,202.0,152.0,0.752475247524,243.0,108.0,5239.0,211.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770.0,674.0,138.0,178.0,1.1,0.4,1.9,3.1,1.1,6.3,2.8,1.7,0.8,0.6,21.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630583,Santi Aldama,Santi,Aldama,True,570.0,172.0,1162.0,1144.0,396.0,0.346153846153,2349.0,1088.0,0.463175819497,471.0,323.0,0.685774946921,278.0,82.0,6517.0,351.0,413.0,14.0,1.0,41.0,39.0,17.0,0.435897435897,77.0,36.0,0.467532467532,2.0,2.0,1.0,10.0,1.0,222.0,9.0,12.0,91.0,50.0,3.0,7.0,2895.0,1513.0,183.0,271.0,2.1,0.6,4.2,4.1,1.4,8.4,3.9,1.5,1.7,1.2,23.4,1.3,1.4,0.1,4.1,3.9,1.7,7.7,3.6,1.2,0.2,0.2,22.2,0.9,9.1,5.0,0.3,0.7,10.4,5.4,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641725,Trey Alexander,Trey,Alexander,True,16.0,2.0,15.0,20.0,5.0,0.25,50.0,19.0,0.38,4.0,3.0,0.75,29.0,0.0,158.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,16.0,3.0,6.0,0.6,0.1,0.5,0.7,0.2,1.7,0.7,0.5,0.1,0.1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,1073.0,181.0,935.0,1978.0,719.0,0.363498483316,3671.0,1537.0,0.418687006265,657.0,516.0,0.785388127853,433.0,113.0,9661.0,193.0,727.0,80.0,13.0,52.0,169.0,56.0,0.331360946745,262.0,102.0,0.389312977099,31.0,28.0,0.903225806451,37.0,5.0,839.0,14.0,57.0,288.0,66.0,20.0,42.0,4309.0,1128.0,316.0,547.0,2.5,0.4,2.2,4.6,1.7,8.5,3.5,1.7,1.5,1.2,22.3,0.4,2.2,0.4,1.4,4.6,1.5,7.1,2.8,1.5,0.8,0.8,22.7,0.4,7.8,1.8,0.5,1.1,10.0,2.6,0.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628960,Grayson Allen,Grayson,Allen,True,952.0,122.0,1092.0,2381.0,972.0,0.408231835363,3611.0,1613.0,0.446690667405,758.0,648.0,0.85488126649,438.0,278.0,11287.0,230.0,715.0,27.0,5.0,58.0,106.0,42.0,0.396226415094,168.0,71.0,0.422619047619,30.0,22.0,0.733333333333,26.0,12.0,627.0,11.0,46.0,206.0,69.0,13.0,17.0,4846.0,1322.0,343.0,458.0,2.2,0.3,2.5,5.4,2.2,8.2,3.7,1.6,1.7,1.5,25.8,0.5,1.0,0.2,2.2,4.1,1.6,6.5,2.7,1.8,1.2,0.8,24.1,0.4,7.9,2.7,0.5,0.7,11.1,3.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628386,Jarrett Allen,Jarrett,Allen,True,1031.0,738.0,3860.0,125.0,20.0,0.16,4916.0,3142.0,0.63913751017,2195.0,1569.0,0.714806378132,609.0,544.0,17134.0,1713.0,1185.0,49.0,27.0,178.0,0.0,0.0,0.0,190.0,124.0,0.652631578947,103.0,84.0,0.815533980582,27.0,27.0,820.0,83.0,53.0,332.0,261.0,27.0,44.0,7873.0,5573.0,413.0,824.0,1.7,1.2,6.3,0.2,0.0,8.1,5.2,1.9,3.6,2.6,28.1,2.8,1.8,1.0,6.6,0.0,0.0,7.0,4.6,2.0,3.8,3.1,30.4,3.1,12.3,9.7,1.0,1.6,12.9,9.2,0.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630631,Jose Alvarado,Jose,Alvarado,True,842.0,50.0,498.0,1066.0,374.0,0.350844277673,1929.0,795.0,0.412130637636,283.0,216.0,0.763250883392,268.0,34.0,5434.0,121.0,458.0,18.0,2.0,10.0,30.0,7.0,0.233333333333,53.0,19.0,0.358490566037,13.0,10.0,0.76923076923,10.0,0.0,178.0,2.0,21.0,55.0,12.0,12.0,11.0,2180.0,619.0,308.0,294.0,3.1,0.2,1.9,4.0,1.4,7.2,3.0,1.7,1.1,0.8,20.3,0.5,1.8,0.2,1.0,3.0,0.7,5.3,1.9,2.1,1.3,1.0,17.8,0.2,5.5,1.2,1.2,1.1,8.1,2.3,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
